"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Type","Number of Positions or Pins (Grid)","Pitch - Mating","Contact Finish - Mating","Contact Finish Thickness - Mating","Contact Material - Mating","Mounting Type","Features","Termination","Pitch - Post","Contact Finish - Post","Contact Finish Thickness - Post","Contact Material - Post","Housing Material","Operating Temperature"
"http://www.mill-max.com/assets/pdfs/129.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/299-93-320-11-001000.jpg","ED90164-ND","299-43-320-11-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 20POS GOLD",1378,0,"7.55450",100,1,"Tube","299","DIP, 0.3"" (7.62mm) Row Spacing","20 (2 x 10)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole, Right Angle, Horizontal","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/129.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/299-93-320-10-001000.jpg","ED90140-ND","299-43-320-10-001000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 20POS GOLD",140,0,"7.92520",100,1,"Tube","299","DIP, 0.3"" (7.62mm) Row Spacing","20 (2 x 10)","0.100"" (2.54mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole, Right Angle, Horizontal","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.mill-max.com/assets/pdfs/125.PDF","http://media.digikey.com/photos/Mill-Max%20Mfg%20Photos/117-93-764-41-005000.jpg","ED90234-ND","117-43-764-41-005000","Mill-Max Manufacturing Corp.","CONN IC DIP SOCKET 64POS GOLD",160,0,"8.46240",100,1,"Tube","117","DIP, 0.75"" (19.05mm) Row Spacing","64 (2 x 32)","0.070"" (1.78mm)","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Open Frame","Solder","0.070"" (1.78mm)","Tin","200µin (5.08µm)","Brass Alloy","Polycyclohexylenedimethylene Terephthalate (PCT), Polyester","-55°C ~ 125°C"
"http://www.arieselec.com/products/data/12024-dip-collet-solder-tail-socket.pdf","http://media.digikey.com/photos/Aries/40-C182-10.jpg","A540-ND","40-C182-10","Aries Electronics","CONN IC DIP SOCKET 40POS GOLD",196,0,"8.50540",100,1,"Bulk","EJECT-A-DIP™","DIP, 0.6"" (15.24mm) Row Spacing","40 (2 x 20)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Beryllium Copper","Through Hole","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Brass","Polyamide (PA46), Nylon 4/6, Glass Filled","-55°C ~ 105°C"
"http://www.arieselec.com/products/data/13002-vertical-display-socket.pdf","http://media.digikey.com/photos/Aries/10-2810-90.jpg","A465-ND","10-2810-90","Aries Electronics","CONN IC DIP SOCKET 10POS GOLD",1515,0,"8.60550",100,1,"Bulk","Vertisockets™ 800","DIP, 0.2"" (5.08mm) Row Spacing","10 (2 x 5)","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Phosphor Bronze","Through Hole, Right Angle, Vertical","Closed Frame","Solder","0.100"" (2.54mm)","Gold","10µin (0.25µm)","Phosphor Bronze","Polyamide (PA46), Nylon 4/6","-"
"http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437508-5&DocType=Customer+Drawing&DocLang=English","http://media.digikey.com/Photos/TE%20Connectivity/1437508-7.jpg","1437508-7-ND","1437508-7","TE Connectivity AMP Connectors","CONN TRANSIST TO-5 3POS GOLD",731,0,"11.30370",100,1,"Bulk","8058","Transistor, TO-5","3 (Round)","-","Gold","-","Beryllium Copper","Through Hole","Closed Frame","Solder","-","Gold","-","Brass","Polytetrafluoroethylene (PTFE)","-55°C ~ 125°C"
"-","http://media.digikey.com/Photos/Tyco%20Amp%20Photos/1437504-4.jpg","1437504-4-ND","1437504-4","TE Connectivity AMP Connectors","CONN TRANSIST TO-5 3POS GOLD",229,0,"13.18520",100,1,"Bulk","8060","Transistor, TO-5","3 (Round)","-","Gold","-","Beryllium Copper","Through Hole","Closed Frame","Solder","-","Gold","-","Beryllium Copper","Polytetrafluoroethylene (PTFE)","-55°C ~ 125°C"
"http://www.arieselec.com/products/data/13002-vertical-display-socket.pdf","http://media.digikey.com/Photos/Aries/18-6810-90T.JPG","A829AR-ND","18-6810-90T","Aries Electronics","CONN IC DIP SOCKET 18POS TIN",3376,0,"11.85030",100,1,"Bulk","Vertisockets™ 800","DIP, 0.6"" (15.24mm) Row Spacing","18 (2 x 9)","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Phosphor Bronze","Through Hole, Right Angle, Vertical","Closed Frame","Solder","0.100"" (2.54mm)","Tin","200µin (5.08µm)","Phosphor Bronze","Polyamide (PA46), Nylon 4/6","-"
"http://www.sullinscorp.com/drawings/401_T_U03DTO_,_C12112.pdf","http://media.digikey.com/photos/Sullins%20Photos/TDU03DTON.JPG","S9634-ND","TDU03DTON","Sullins Connector Solutions","CONN SOCKET TRANSIST 3POS GOLD",118,0,"12.98210",100,1,"Bulk","-","Transistor","3 (Rectangular)","-","Gold","30µin (0.76µm)","Beryllium Copper","Through Hole","Board Guide","Solder","-","Gold","30µin (0.76µm)","Beryllium Copper","Polyphenylene Sulfide (PPS)","-55°C ~ 175°C"
"http://www.arieselec.com/products/data/10018-low-profile-zif-test-socket.pdf","http://media.digikey.com/photos/Aries/40-526-10.jpg","A348-ND","40-526-10","Aries Electronics","CONN IC DIP SOCKET ZIF 40POS TIN",102,0,"12.63720",100,1,"Bulk","Lo-PRO®file, 526","DIP, ZIF (ZIP)","40 (2 x 20)","0.100"" (2.54mm)","Tin","10µin (0.25µm)","Beryllium Copper","Through Hole","Closed Frame","Solder","0.100"" (2.54mm)","Tin","10µin (0.25µm)","Beryllium Copper","Polyamide (PA46), Nylon 4/6, Glass Filled","-55°C ~ 105°C"
