"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (CAD)","@ qty","Minimum Quantity","Packaging","Series","Color","CCT (K)","Flux @ 85°C, Current - Test","Flux @ 25°C, Current - Test","Current - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","CRI (Color Rendering Index)","Current - Max","Viewing Angle","Mounting Type","Package / Case"
"http://www.osram-os.com/Graphics/XPic8/00088570_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/OSLON%20SSL%20SERIES.JPG","475-3127-1-ND","LUW CRDP-LRLT-HPJR-1","OSRAM Opto Semiconductors Inc.","LED OSLON COOL WHT 6000K 2SMD",1799,0,"1.77728",2000,1,"Cut Tape (CT)","OSLON SSL® 150","White, Cool","6000K","-","147 lm (130 lm ~ 164 lm)","350mA","2.95V","142 lm/W","70 (Typ)","1A","150°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.osram-os.com/Graphics/XPic8/00088570_0.pdf","http://media.digikey.com/Photos/Osram%20Opto%20Photos/OSLON%20SSL%20SERIES.JPG","475-3127-6-ND","LUW CRDP-LRLT-HPJR-1","OSRAM Opto Semiconductors Inc.","LED OSLON COOL WHITE 6000K 2SMD",1799,0,"Calculate",2000,1,"Digi-Reel®","OSLON SSL","White, Cool","6000K","-","147 lm (130 lm ~ 164 lm)","350mA","2.95V","142 lm/W","70","1A","150°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.lumileds.com/uploads/542/DS134-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-ES-White.jpg","1416-1118-2-ND","LXZ2-3580-3","Lumileds","LED LUXEON WARM WHITE 3500K 2SMD",24000,0,"1.50816",2000,2000,"Tape & Reel (TR)","LUXEON Z ES","White, Warm","3500K 3-Step MacAdam Ellipse","205 lm (Typ)","-","700mA","2.8V","105 lm/W","80","1.2A","120°","Surface Mount","3-SMD, No Lead"
"http://www.lumileds.com/uploads/542/DS134-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-ES-White.jpg","1416-1118-1-ND","LXZ2-3580-3","Lumileds","LED LUXEON WARM WHITE 3500K 2SMD",25416,0,"1.50816",2000,1,"Cut Tape (CT)","LUXEON Z ES","White, Warm","3500K 3-Step MacAdam Ellipse","205 lm (Typ)","-","700mA","2.8V","105 lm/W","80","1.2A","120°","Surface Mount","3-SMD, No Lead"
"http://www.lumileds.com/uploads/542/DS134-pdf","http://media.digikey.com/Photos/Philips%20Lumileds%20Photos/Luxeon-Z-ES-White.jpg","1416-1118-6-ND","LXZ2-3580-3","Lumileds","LED LUXEON WARM WHITE 3500K 2SMD",25416,0,"Calculate",2000,1,"Digi-Reel®","LUXEON Z ES","White, Warm","3500K 3-Step MacAdam Ellipse","205 lm (Typ)","-","700mA","2.8V","105 lm/W","80","1.2A","120°","Surface Mount","3-SMD, No Lead"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG.pdf","http://media.digikey.com/photos/Cree%20Photos/XPG-Series.jpg","XPGWHT-01-0000-00EE5TR-ND","XPGWHT-01-0000-00EE5","Cree Inc.","LED XLAMP NEUTRAL WHT 4000K 2SMD",3000,0,"1.58655",2000,1000,"Tape & Reel (TR)","XLamp® XP-G","White, Neutral","4000K","-","118 lm (114 lm ~ 122 lm)","350mA","2.9V","116 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG.pdf","http://media.digikey.com/photos/Cree%20Photos/XPG-Series.jpg","XPGWHT-01-0000-00EE5CT-ND","XPGWHT-01-0000-00EE5","Cree Inc.","LED XLAMP NEUTRAL WHT 4000K 2SMD",3188,0,"1.70814",2000,1,"Cut Tape (CT)","XLamp® XP-G","White, Neutral","4000K","-","118 lm (114 lm ~ 122 lm)","350mA","2.9V","116 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPG.pdf","http://media.digikey.com/photos/Cree%20Photos/XPG-Series.jpg","XPGWHT-01-0000-00EE5DKR-ND","XPGWHT-01-0000-00EE5","Cree Inc.","LED XLAMP NEUTRAL WHT 4000K 2SMD",3188,0,"Calculate",2000,1,"Digi-Reel®","XLamp® XP-G","White, Neutral","4000K","-","118 lm (114 lm ~ 122 lm)","350mA","2.9V","116 lm/W","70 (Typ)","1.5A","125°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPE2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XPEBWT.jpg","XPEBWT-L1-0000-00FE1TR-ND","XPEBWT-L1-0000-00FE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",8000,0,"1.60522",2000,1000,"Tape & Reel (TR)","XLamp® XP-E2","White, Cool","6500K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1A","110°","Surface Mount","2-SMD, No Lead, Exposed Pad"
"http://www.cree.com/~/media/Files/Cree/LED%20Components%20and%20Modules/XLamp/Data%20and%20Binning/XLampXPE2.pdf","http://media.digikey.com/Photos/Cree%20Photos/MFG_XPEBWT.jpg","XPEBWT-L1-0000-00FE1CT-ND","XPEBWT-L1-0000-00FE1","Cree Inc.","LED XLAMP COOL WHITE 6500K 2SMD",8369,0,"1.70814",2000,1,"Cut Tape (CT)","XLamp® XP-E2","White, Cool","6500K","126 lm (122 lm ~ 130 lm)","-","350mA","2.9V","124 lm/W","70 (Typ)","1A","110°","Surface Mount","2-SMD, No Lead, Exposed Pad"
